COUNTY,POPULATION,Violent Crimes,MURDER,RAPE,ROBBERY,AGGRAV,BURGLARY,LARCENY,MOTOR,ARSON,INDEX,%OF
Baker,3762.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,8.0,
Dougherty,95314.0,602.0,8.0,48.0,227.0,546.0,1589.0,3355.0,320.0,14.0,6107.0,
Lee,34775.0,24.0,0.0,12.0,9.0,12.0,151.0,367.0,31.0,1.0,583.0,
Terrell,10175.0,34.0,0.0,1.0,2.0,33.0,103.0,63.0,5.0,0.0,207.0,
Worth,21139.0,18.0,1.0,2.0,4.0,15.0,207.0,454.0,52.0,0.0,735.0,
Clarke,115741.0,321.0,10.0,44.0,158.0,267.0,1997.0,3776.0,276.0,23.0,6551.0,
Madison,28346.0,100.0,0.0,5.0,7.0,95.0,66.0,440.0,40.0,0.0,653.0,
Oconee,32802.0,81.0,0.0,1.0,1.0,80.0,134.0,332.0,26.0,1.0,575.0,
Oglethorpe,13404.0,25.0,0.0,1.0,4.0,24.0,89.0,132.0,17.0,1.0,268.0,
Barrow,73014.0,257.0,0.0,19.0,21.0,238.0,459.0,1373.0,150.0,10.0,2270.0,
Bartow,96758.0,219.0,6.0,26.0,52.0,187.0,906.0,2406.0,294.0,4.0,3881.0,
Butts,24900.0,62.0,3.0,12.0,14.0,47.0,151.0,422.0,72.0,2.0,723.0,
Carroll,116457.0,784.0,7.0,42.0,67.0,735.0,862.0,2651.0,245.0,15.0,4624.0,
Cherokee,218698.0,140.0,3.0,11.0,29.0,126.0,623.0,2127.0,93.0,10.0,3022.0,
Clayton,276732.0,865.0,18.0,104.0,672.0,743.0,4996.0,6426.0,1669.0,30.0,14658.0,
Cobb,705231.0,1266.0,24.0,121.0,634.0,1121.0,4847.0,11172.0,1469.0,54.0,19442.0,
Coweta,126677.0,206.0,5.0,11.0,46.0,190.0,744.0,1780.0,170.0,6.0,2952.0,
Dawson,22654.0,21.0,2.0,2.0,2.0,17.0,108.0,278.0,29.0,5.0,443.0,
DeKalb,744994.0,1930.0,67.0,183.0,2400.0,1680.0,10523.0,19652.0,5005.0,143.0,39653.0,
Douglas,132021.0,272.0,4.0,14.0,82.0,254.0,826.0,2736.0,274.0,8.0,4198.0,
Fayette,107718.0,50.0,1.0,7.0,20.0,42.0,298.0,1278.0,158.0,3.0,1807.0,
Forsyth,177188.0,73.0,2.0,20.0,25.0,51.0,555.0,1644.0,107.0,13.0,2417.0,
Fulton,1035101.0,4983.0,114.0,267.0,3861.0,4602.0,15965.0,34336.0,8302.0,208.0,67655.0,
Gwinnett,810933.0,1141.0,38.0,171.0,1218.0,932.0,6329.0,14295.0,2125.0,98.0,25206.0,
Haralson,29221.0,125.0,0.0,4.0,9.0,121.0,172.0,614.0,68.0,1.0,989.0,
Heard,11469.0,28.0,0.0,1.0,3.0,27.0,54.0,118.0,29.0,0.0,232.0,
Henry,200565.0,364.0,4.0,31.0,105.0,329.0,1309.0,3464.0,460.0,17.0,5719.0,
Jasper,14070.0,30.0,0.0,3.0,5.0,27.0,82.0,128.0,12.0,0.0,257.0,
Lamar,17043.0,82.0,1.0,4.0,10.0,77.0,130.0,262.0,19.0,2.0,505.0,
Meriwether,22773.0,45.0,0.0,5.0,10.0,40.0,195.0,411.0,69.0,1.0,731.0,
Newton,103145.0,319.0,6.0,14.0,54.0,299.0,985.0,1600.0,239.0,10.0,3207.0,
Paulding,139716.0,312.0,3.0,19.0,34.0,290.0,681.0,2244.0,244.0,26.0,3541.0,
Pickens,32052.0,56.0,0.0,7.0,0.0,49.0,136.0,242.0,23.0,0.0,457.0,
Pike,17968.0,12.0,2.0,0.0,2.0,10.0,39.0,90.0,9.0,0.0,152.0,
Rockdale,84388.0,285.0,3.0,17.0,83.0,265.0,810.0,2247.0,266.0,11.0,3702.0,
Spalding,64260.0,209.0,1.0,26.0,89.0,182.0,631.0,1904.0,190.0,8.0,3031.0,
Walton,88652.0,181.0,9.0,15.0,31.0,157.0,451.0,1302.0,154.0,6.0,2125.0,
Burke,22682.0,148.0,0.0,0.0,19.0,148.0,284.0,530.0,54.0,1.0,1036.0,
Columbia,112725.0,109.0,4.0,16.0,46.0,89.0,409.0,1923.0,131.0,6.0,2624.0,
McDuffie,21716.0,39.0,0.0,0.0,16.0,39.0,174.0,376.0,43.0,0.0,648.0,
Richmond,198582.0,357.0,26.0,139.0,700.0,192.0,3636.0,8975.0,1648.0,68.0,15384.0,
Brantley,15539.0,49.0,0.0,9.0,5.0,40.0,150.0,90.0,2.0,0.0,296.0,
Glynn,76518.0,524.0,16.0,26.0,138.0,482.0,988.0,2909.0,175.0,8.0,4742.0,
McIntosh,11468.0,60.0,0.0,2.0,7.0,58.0,162.0,269.0,34.0,5.0,537.0,
Catoosa,63656.0,74.0,1.0,7.0,19.0,66.0,334.0,1504.0,148.0,1.0,2080.0,
Dade,16181.0,47.0,0.0,4.0,3.0,43.0,67.0,192.0,36.0,1.0,346.0,
Walker,64932.0,317.0,1.0,15.0,19.0,301.0,531.0,1078.0,75.0,1.0,2021.0,
Chattahoochee,13629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harris,30020.0,5.0,0.0,0.0,1.0,5.0,17.0,289.0,9.0,0.0,321.0,
Marion,6910.0,15.0,0.0,1.0,3.0,14.0,35.0,55.0,4.0,0.0,112.0,
Muscogee,186224.0,579.0,13.0,47.0,577.0,519.0,3801.0,9471.0,1521.0,50.0,15999.0,
Murray,40538.0,52.0,1.0,5.0,7.0,46.0,169.0,616.0,69.0,1.0,914.0,
Whitfield,94564.0,295.0,1.0,26.0,26.0,268.0,603.0,2191.0,104.0,13.0,3232.0,
Hall,189639.0,273.0,4.0,39.0,68.0,230.0,1196.0,2992.0,327.0,15.0,4871.0,
Liberty,57926.0,192.0,2.0,22.0,87.0,168.0,847.0,1397.0,114.0,5.0,2642.0,
Long,11530.0,21.0,0.0,5.0,4.0,16.0,83.0,73.0,12.0,1.0,194.0,
Bibb,154677.0,510.0,22.0,42.0,387.0,446.0,2518.0,6326.0,832.0,94.0,10667.0,
Crawford,12463.0,33.0,0.0,4.0,2.0,29.0,123.0,266.0,32.0,3.0,459.0,
Jones,27882.0,23.0,0.0,1.0,6.0,22.0,152.0,303.0,42.0,2.0,528.0,
Monroe,25551.0,28.0,1.0,4.0,9.0,23.0,178.0,349.0,55.0,4.0,623.0,
Twiggs,10177.0,13.0,0.0,0.0,0.0,13.0,37.0,110.0,6.0,1.0,167.0,
Floyd,96145.0,330.0,3.0,26.0,95.0,301.0,786.0,2121.0,184.0,84.0,3600.0,
Bryan,32025.0,41.0,0.0,8.0,14.0,33.0,211.0,657.0,39.0,0.0,962.0,
Chatham,252175.0,660.0,31.0,59.0,694.0,570.0,3075.0,8272.0,1310.0,64.0,14075.0,
Effingham,53708.0,31.0,0.0,8.0,4.0,23.0,266.0,263.0,44.0,1.0,609.0,
Brooks,16349.0,158.0,2.0,3.0,15.0,153.0,187.0,308.0,54.0,4.0,726.0,
Echols,4077.0,7.0,0.0,1.0,1.0,6.0,15.0,26.0,1.0,1.0,51.0,
Lanier,8364.0,14.0,0.0,4.0,2.0,10.0,20.0,44.0,3.0,0.0,83.0,
Lowndes,105585.0,197.0,9.0,39.0,99.0,149.0,861.0,2478.0,151.0,14.0,3800.0,
Houston,135248.0,362.0,4.0,18.0,125.0,340.0,1074.0,3621.0,209.0,21.0,5412.0,
